"Week Ending","Week Number","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 8, 2023","1","2023","Actual","22,987,752","0","46,079","22,787,451","0","95,254","58,966"
"Jan 15, 2023","2","2023","Actual","26,089,497","0","92,159","25,914,105","0","65,087","18,143"
"Jan 22, 2023","3","2023","Actual","32,235,864","33,497","23,039","31,797,488","0","282,047","99,790"
"Jan 29, 2023","4","2023","Actual","31,164,616","92,047","45,359","30,623,675","0","303,743","99,790"
"Feb 5, 2023","5","2023","Actual","28,010,217","73,946","45,359","27,549,896","0","282,047","58,966"
"Feb 12, 2023","6","2023","Actual","19,828,134","224,072","0","19,430,493","0","173,567","0"
"Feb 19, 2023","7","2023","Actual","24,940,098","349,743","0","24,194,909","0","282,047","113,398"
"Feb 26, 2023","8","2023","Actual","25,083,746","239,641","0","24,609,001","0","216,959","18,143"
"Mar 5, 2023","9","2023","Actual","29,098,645","138,632","0","28,711,902","0","130,175","117,933"
"Mar 12, 2023","10","2023","Actual","30,045,799","646,300","0","29,247,626","0","151,871","0"
"Mar 19, 2023","11","2023","Actual","32,123,907","460,761","0","31,519,962","0","43,391","99,790"
"Mar 26, 2023","12","2023","Actual","25,225,294","391,846","0","24,662,448","0","130,175","40,823"
"Apr 2, 2023","13","2023","Actual","28,646,070","1,096,473","0","27,280,174","43,007","108,479","117,933"
"Apr 9, 2023","14","2023","Actual","19,111,143","2,208,001","0","16,708,453","64,511","130,175","0"
"Apr 16, 2023","15","2023","Actual","29,802,493","3,189,728","0","26,399,750","82,838","130,175","0"
"Apr 23, 2023","16","2023","Actual","35,118,308","4,311,604","0","30,553,593","129,055","65,087","58,966"
"Apr 30, 2023","17","2023","Actual","33,471,214","5,639,373","0","27,575,967","107,552","130,175","18,143"
"May 7, 2023","18","2023","Actual","24,539,838","4,490,759","0","19,649,351","340,759","0","58,966"
"May 14, 2023","19","2023","Actual","26,801,750","5,357,092","0","20,849,415","471,187","65,087","58,966"
"May 21, 2023","20","2023","Actual","26,012,626","4,795,576","0","20,572,826","622,526","21,695","0"
"May 28, 2023","21","2023","Actual","27,755,639","5,362,151","0","21,366,941","856,530","151,871","18,143"
"Jun 4, 2023","22","2023","Actual","26,968,830","4,327,939","0","20,376,788","1,567,863","650,878","45,359"
"Jun 11, 2023","23","2023","Actual","26,834,967","4,959,829","0","18,944,634","2,326,568","585,790","18,143"
"Jun 18, 2023","24","2023","Actual","22,672,818","5,569,416","0","13,680,922","3,010,255","412,223","0"
"Jun 25, 2023","25","2023","Actual","21,419,181","6,459,038","0","11,576,563","2,906,268","477,311","0"
"Jul 2, 2023","26","2023","Actual","27,543,105","6,926,201","0","16,137,016","3,925,464","477,311","77,110"
"Jul 9, 2023","27","2023","Actual","23,117,180","5,303,420","0","12,829,577","4,420,087","564,094","0"
"Jul 16, 2023","28","2023","Actual","25,221,348","7,048,766","0","13,036,739","4,689,900","368,831","77,110"
"Jul 23, 2023","29","2023","Actual","23,168,888","5,094,000","0","12,399,350","5,266,102","173,567","235,867"
"Jul 30, 2023","30","2023","Actual","22,155,735","4,465,854","0","11,100,882","6,111,686","477,311","0"
"Aug 6, 2023","31","2023","Actual","26,089,158","3,875,716","0","14,653,055","6,649,156","455,615","455,615"
"Aug 13, 2023","32","2023","Actual","28,074,632","2,759,072","0","18,280,408","6,604,784","412,223","18,143"
"Aug 20, 2023","33","2023","Actual","24,514,726","2,510,805","0","16,304,227","5,421,197","260,351","18,143"
"Aug 27, 2023","34","2023","Actual","21,213,366","1,521,010","0","13,999,987","5,268,123","347,135","77,110"
"Sep 3, 2023","35","2023","Actual","22,737,046","1,186,285","43,007","16,293,898","4,823,327","390,527","0"
"Sep 10, 2023","36","2023","Actual","22,387,186","824,045","501,811","16,922,319","3,830,567","231,331","77,110"
"Sep 17, 2023","37","2023","Actual","24,688,433","453,613","565,156","20,166,781","3,081,041","421,840","0"
"Sep 24, 2023","38","2023","Actual","27,854,213","86,956","542,303","25,300,274","1,802,208","122,469","0"
"Oct 1, 2023","39","2023","Actual","26,653,439","1,678","453,761","25,210,540","783,342","86,182","117,933"
"Oct 8, 2023","40","2023","Actual","20,311,765","0","484,802","19,655,833","152,984","18,143","0"
"Oct 15, 2023","41","2023","Actual","17,023,435","0","468,301","16,374,688","39,830","0","140,613"
"Oct 22, 2023","42","2023","Actual","26,144,744","0","314,302","25,830,440","0","0","0"
"Oct 29, 2023","43","2023","Actual","28,995,752","0","461,246","28,516,361","0","0","18,143"
"Nov 5, 2023","44","2023","Actual","23,453,324","0","245,312","23,185,332","0","22,679","N/A"
"Nov 12, 2023","45","2023","Actual","22,573,049","0","186,415","22,363,953","0","22,679","N/A"
"Nov 19, 2023","46","2023","Actual","20,678,478","0","184,851","20,448,267","0","45,359","N/A"
"Nov 26, 2023","47","2023","Actual","19,227,444","0","42,674","19,184,768","0","0","N/A"
"Dec 3, 2023","48","2023","Actual","27,415,687","0","106,687","27,308,998","0","0","N/A"
"Dec 10, 2023","49","2023","Actual","23,756,564","0","85,350","23,426,273","0","244,939","N/A"
"Dec 17, 2023","50","2023","Actual","22,855,546","0","20,951","22,743,875","0","72,574","18,143"
"Dec 24, 2023","51","2023","Actual","26,151,736","0","41,903","26,014,577","0","95,254","N/A"
"Dec 31, 2023","52","2023","Actual","20,654,537","0","68,038","20,536,603","0","49,895","N/A"
