Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2025-01-26 00:00:00",Conventional,0.909965586,163717.85,61800.77,58449.78,227.12,43240.18,,,
Albany,Weekly,"2025-01-19 00:00:00",Conventional,0.768989435,170817.26,58408.07,67182.20,197.77,45029.23,,,
Albany,Weekly,"2025-01-12 00:00:00",Conventional,0.812287831,167564.79,69307.87,52638.49,149.73,45468.70,,,
Albany,Weekly,"2025-01-06 00:00:00",Conventional,0.760718077,179738.93,70886.59,74018.53,171.51,34662.30,,,
Atlanta,Weekly,"2025-01-26 00:00:00",Conventional,1.219359672,843810.51,571985.90,48227.33,29.41,223567.86,,,
Atlanta,Weekly,"2025-01-19 00:00:00",Conventional,1.171366243,860527.03,534649.48,58849.95,15.28,267012.32,,,
Atlanta,Weekly,"2025-01-12 00:00:00",Conventional,1.170408484,875216.41,569153.32,95609.53,17.39,210436.18,,,
Atlanta,Weekly,"2025-01-06 00:00:00",Conventional,1.265276280,875017.23,518334.86,161611.73,20.14,195050.50,,,
Baltimore/Washington,Weekly,"2025-01-26 00:00:00",Conventional,1.232338432,1304537.58,557801.84,170402.48,1718.16,574615.09,,,
Baltimore/Washington,Weekly,"2025-01-19 00:00:00",Conventional,1.160291642,1368242.78,599013.72,192772.34,1901.58,574555.13,,,
Baltimore/Washington,Weekly,"2025-01-12 00:00:00",Conventional,1.153612985,1346514.54,656490.90,157517.90,1787.13,530718.61,,,
Baltimore/Washington,Weekly,"2025-01-06 00:00:00",Conventional,1.151057787,1363848.24,589542.02,162171.38,2265.87,609868.97,,,
Birmingham/Montgomery,Weekly,"2025-01-26 00:00:00",Conventional,1.161738775,394402.07,263385.02,5415.07,503.05,125098.94,,,
Birmingham/Montgomery,Weekly,"2025-01-19 00:00:00",Conventional,1.079862181,422691.11,259944.90,7850.08,558.66,154337.47,,,
Birmingham/Montgomery,Weekly,"2025-01-12 00:00:00",Conventional,1.111597109,402655.37,265917.81,7725.14,703.17,128309.25,,,
Birmingham/Montgomery,Weekly,"2025-01-06 00:00:00",Conventional,1.087624537,398801.30,275685.50,14039.93,576.45,108499.42,,,
Boise,Weekly,"2025-01-26 00:00:00",Conventional,1.102948924,149554.85,71024.19,20827.80,751.55,56951.30,,,
Boise,Weekly,"2025-01-19 00:00:00",Conventional,1.268233589,141779.86,87706.27,20687.82,311.26,33074.50,,,
Boise,Weekly,"2025-01-12 00:00:00",Conventional,1.409834837,129261.76,71376.32,25550.73,183.16,32151.56,,,
Boise,Weekly,"2025-01-06 00:00:00",Conventional,1.373085442,134863.47,67689.45,35384.75,147.62,31641.65,,,
Boston,Weekly,"2025-01-26 00:00:00",Conventional,1.142055442,791182.61,365319.77,226921.34,387.46,198554.03,,,
Boston,Weekly,"2025-01-19 00:00:00",Conventional,1.063160043,772223.00,316908.86,256201.11,377.75,198735.28,,,
Boston,Weekly,"2025-01-12 00:00:00",Conventional,1.163611184,682957.51,302890.53,179043.71,327.22,200696.05,,,
Boston,Weekly,"2025-01-06 00:00:00",Conventional,1.030530822,893697.22,450604.01,268159.98,333.19,174600.04,,,
Buffalo/Rochester,Weekly,"2025-01-26 00:00:00",Conventional,1.239188017,270006.95,73494.73,48795.67,1267.86,146448.69,,,
Buffalo/Rochester,Weekly,"2025-01-19 00:00:00",Conventional,1.162283096,278787.59,77267.24,48151.26,1102.58,152266.51,,,
Buffalo/Rochester,Weekly,"2025-01-12 00:00:00",Conventional,1.102523525,305191.74,108254.42,44742.29,1111.62,151083.41,,,
Buffalo/Rochester,Weekly,"2025-01-06 00:00:00",Conventional,1.168620241,252565.14,81429.29,47612.91,1191.68,122331.25,,,
Charlotte,Weekly,"2025-01-26 00:00:00",Conventional,1.202923293,475777.37,197969.01,54112.63,797.79,222897.93,,,
