"Week Ending","Week Number","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 7, 2024","1","2024","Actual","25,467,500","0","68,038","25,016,175","0","267,619","115,665"
"Jan 14, 2024","2","2024","Actual","30,367,251","0","45,359","29,888,031","0","314,565","119,294"
"Jan 21, 2024","3","2024","Actual","29,597,532","10,682","22,679","29,168,420","0","216,126","179,622"
"Jan 28, 2024","4","2024","Actual","27,519,078","27,099","0","26,828,795","0","528,465","134,716"
"Feb 4, 2024","5","2024","Actual","27,414,941","71,005","0","26,651,853","0","552,375","139,706"
"Feb 11, 2024","6","2024","Actual","21,772,921","119,033","0","21,420,988","0","113,150","119,748"
"Feb 18, 2024","7","2024","Actual","28,021,625","411,583","0","26,610,545","0","923,746","75,749"
"Feb 25, 2024","8","2024","Actual","27,343,506","131,147","0","26,827,477","0","325,006","59,874"
"Mar 3, 2024","9","2024","Actual","24,342,043","601,925","0","23,519,661","23,959","157,033","39,462"
"Mar 10, 2024","10","2024","Actual","27,870,899","843,292","0","26,983,537","0","24,019","20,048"
"Mar 17, 2024","11","2024","Actual","31,092,242","1,713,209","0","29,340,477","0","0","38,555"
"Mar 24, 2024","12","2024","Actual","29,525,678","2,578,721","0","26,846,455","64,214","0","36,287"
"Mar 31, 2024","13","2024","Actual","24,842,934","3,476,134","0","21,253,055","64,743","48,999","0"
"Apr 7, 2024","14","2024","Actual","28,829,163","3,214,566","0","25,297,269","107,751","209,575","0"
"Apr 14, 2024","15","2024","Actual","28,477,241","5,100,711","0","23,138,002","150,526","88,000","0"
"Apr 21, 2024","16","2024","Actual","31,860,009","6,038,637","0","24,582,627","314,746","923,998","0"
"Apr 28, 2024","17","2024","Actual","31,605,424","6,516,087","0","23,712,209","277,128","1,099,997","0"
"May 5, 2024","18","2024","Actual","25,567,575","6,004,844","0","18,166,881","427,851","967,998","0"
"May 12, 2024","19","2024","Actual","26,772,350","6,372,362","0","18,151,754","664,236","1,583,996","0"
"May 19, 2024","20","2024","Actual","24,477,654","7,028,210","0","15,149,284","1,156,160","1,143,997","0"
"May 26, 2024","21","2024","Actual","24,997,194","7,954,133","0","14,735,833","811,229","1,495,997","0"
"Jun 2, 2024","22","2024","Actual","23,638,509","5,664,767","0","14,692,641","1,631,104","1,649,996","0"
"Jun 9, 2024","23","2024","Actual","26,155,592","6,914,071","0","14,973,483","2,596,040","1,671,996","0"
"Jun 16, 2024","24","2024","Actual","24,685,595","7,642,866","0","12,283,473","3,307,258","1,451,997","0"
"Jun 23, 2024","25","2024","Actual","19,173,048","8,676,104","0","4,778,806","4,073,221","1,605,996","38,918"
"Jun 30, 2024","26","2024","Actual","26,816,160","9,565,366","0","11,193,494","4,679,014","1,341,997","36,287"
"Jul 7, 2024","27","2024","Actual","26,499,268","7,517,128","0","12,421,724","5,265,372","1,099,997","195,044"
"Jul 14, 2024","28","2024","Actual","27,259,785","7,657,060","0","10,917,032","6,658,136","1,782,616","244,939"
"Jul 21, 2024","29","2024","Actual","25,535,228","6,316,435","0","10,791,426","6,358,986","1,991,268","77,110"
"Jul 28, 2024","30","2024","Actual","23,476,351","5,586,845","23,039","10,033,826","6,471,863","1,342,632","18,143"
"Aug 4, 2024","31","2024","Actual","25,670,935","5,246,993","46,079","12,655,788","6,565,413","1,034,189","122,469"
"Aug 11, 2024","32","2024","Actual","26,762,452","5,645,619","134,218","15,255,160","4,693,262","938,935","95,254"
"Aug 18, 2024","33","2024","Actual","26,377,348","5,740,397","41,912","16,232,468","3,341,987","811,929","208,652"
"Aug 25, 2024","34","2024","Actual","26,114,162","5,101,946","393,746","17,878,346","2,136,845","367,409","235,867"
"Sep 1, 2024","35","2024","Actual","24,530,262","4,251,241","342,984","18,274,369","1,416,268","131,999","113,398"
"Sep 8, 2024","36","2024","Actual","24,085,940","2,598,663","593,204","19,509,835","1,116,616","131,541","136,077"
"Sep 15, 2024","37","2024","Actual","23,584,290","1,488,681","631,300","20,420,174","838,879","109,999","95,254"
"Sep 22, 2024","38","2024","Actual","21,314,725","1,126,126","710,460","18,366,295","774,367","87,999","249,475"
"Sep 29, 2024","39","2024","Actual","24,762,981","736,118","606,994","22,992,205","147,112","109,999","170,550"
"Oct 6, 2024","40","2024","Actual","22,057,685","607,938","267,819","20,790,058","21,503","197,999","172,364"
"Oct 13, 2024","41","2024","Actual","29,750,505","545,693","257,644","28,706,762","0","86,182","154,221"
"Oct 20, 2024","42","2024","Actual","27,143,723","117,321","273,759","26,616,563","0","0","136,077"
"Oct 27, 2024","43","2024","Actual","24,697,726","0","20,159","24,441,697","0","68,038","167,829"
"Nov 3, 2024","44","2024","Actual","22,521,924","0","442,120","21,408,487","0","381,017","290,298"
"Nov 10, 2024","45","2024","Actual","23,287,193","0","250,809","22,646,293","0","312,978","77,110"
"Nov 17, 2024","46","2024","Actual","24,903,977","0","293,811","23,839,058","0","498,951","272,155"
"Nov 24, 2024","47","2024","Actual","21,109,809","0","40,943","20,429,300","0","467,199","172,364"
"Dec 1, 2024","48","2024","Actual","24,747,191","0","150,529","23,925,344","0","498,951","172,364"
"Dec 8, 2024","49","2024","Actual","26,068,216","0","358,337","24,798,158","0","603,277","308,442"
"Dec 15, 2024","50","2024","Actual","20,942,971","0","40,823","19,600,338","0","671,316","630,492"
"Dec 22, 2024","51","2024","Actual","22,221,231","0","150,212","20,353,669","0","1,351,681","365,668"
"Dec 29, 2024","52","2024","Actual","16,184,699","0","0","15,202,252","0","867,007","115,439"
